,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,overall_score
0,14,0,0,0,3.1,84.3,0,0,0,0,53.1
1,18,1,0,1,3.7,87.8,0,1,1,1,61.3
2,17,1,1,0,7.9,65.5,1,0,1,0,89.6
3,16,2,0,2,1.1,58.1,1,2,1,0,41.6
4,16,1,0,2,1.3,61.0,0,3,0,2,25.4
5,19,0,0,3,3.8,69.6,0,1,0,3,63.5
6,14,1,1,0,1.8,81.6,0,3,1,1,39.1
7,18,1,1,0,5.6,59.4,0,1,0,2,69.6
8,15,2,1,2,3.2,89.6,0,2,0,4,55.2
9,14,1,0,4,6.8,62.4,0,1,1,4,69.6
10,17,1,1,1,6.1,90.5,0,2,1,0,77.5
11,19,2,0,0,4.0,96.2,0,0,0,0,65.0
12,18,1,1,2,6.8,58.2,0,1,1,4,73.6
13,18,2,0,4,1.3,95.9,0,3,0,1,42.5
14,18,2,0,2,4.9,85.3,0,0,1,3,69.3
15,18,2,1,0,5.0,94.4,0,2,0,3,73.7
16,17,2,1,5,2.3,67.3,0,0,0,4,53.5
17,14,1,0,0,0.9,93.2,0,2,0,5,49.8
18,19,0,0,0,4.5,73.8,0,3,0,5,59.2
19,16,1,0,0,4.4,59.5,0,0,1,4,61.9
20,17,0,1,5,5.4,99.8,0,1,1,1,81.3
21,16,1,0,4,2.1,97.4,0,1,0,2,55.0
22,15,2,0,2,1.8,56.2,1,3,0,5,33.5
23,19,1,0,5,7.8,72.8,0,2,0,0,94.6
24,18,0,0,3,1.4,99.3,0,0,1,4,41.4
25,17,0,1,4,8.0,77.4,0,1,1,3,92.5
26,16,2,0,0,5.9,74.9,0,2,1,1,82.5
27,18,2,1,0,5.2,59.8,0,0,0,1,75.4
28,17,1,1,0,3.0,71.0,0,2,1,4,45.1
29,16,2,0,4,7.0,74.9,0,1,0,1,82.6
30,16,2,1,5,7.3,85.7,0,3,0,2,90.4
31,15,1,1,2,5.9,72.5,0,1,0,1,77.1
32,14,0,1,3,5.8,81.7,0,3,0,0,78.8
33,17,2,0,1,4.2,55.1,1,2,1,3,62.2
34,19,1,0,2,1.1,88.2,0,3,1,3,46.9
35,14,2,1,4,8.0,50.2,0,3,1,5,90.4
36,19,2,0,4,0.6,82.1,0,1,1,3,42.0
37,18,1,0,2,4.2,91.3,0,2,1,0,79.0
38,15,1,1,5,3.3,88.3,0,2,0,0,66.5
39,17,0,0,4,6.3,57.4,0,0,0,0,65.4
40,14,2,1,0,6.0,92.2,0,2,0,1,88.7
41,18,0,1,3,5.2,54.0,0,3,0,0,53.9
42,18,1,0,5,1.1,53.3,0,2,1,2,23.7
43,16,1,1,5,2.3,91.1,0,3,1,4,63.6
44,14,0,1,3,1.2,59.1,0,0,1,2,42.3
45,19,1,1,1,7.8,72.4,0,3,1,4,83.5
46,16,2,0,1,1.5,96.8,0,1,1,3,48.7
47,19,0,1,2,7.8,60.4,0,1,0,5,96.3
48,18,0,1,0,1.3,89.0,0,2,0,3,37.5
49,18,0,1,0,7.0,79.2,1,3,1,3,95.9
50,18,0,0,5,4.8,70.3,0,1,0,1,76.2
51,15,0,1,1,6.7,73.0,0,2,1,0,90.4
52,16,1,0,0,5.3,70.5,0,2,0,0,77.0
53,16,2,0,0,6.3,91.4,1,1,0,3,88.4
54,16,2,1,0,6.0,90.7,0,1,0,5,92.5
55,14,2,0,1,2.5,68.7,0,1,1,5,39.5
56,17,2,0,0,7.5,84.9,1,1,0,1,86.2
57,14,1,1,3,5.3,76.6,0,2,1,5,76.9
58,18,2,0,1,2.0,87.4,0,2,1,5,41.1
59,18,0,1,2,2.8,52.5,0,1,0,0,46.2
60,19,2,0,4,4.5,66.8,0,2,1,4,65.1
61,18,0,1,0,7.1,66.8,0,1,1,5,85.8
62,16,2,1,3,6.5,79.8,0,3,0,3,77.4
63,19,0,0,0,2.8,60.4,0,3,0,2,54.9
64,16,0,1,2,5.7,76.6,0,3,1,2,80.9
65,15,1,0,0,0.5,99.0,0,1,1,0,39.2
66,19,2,1,0,3.0,52.2,0,0,0,0,46.9
67,16,0,0,3,6.8,75.2,1,0,0,5,82.4
68,14,0,1,2,1.6,56.9,0,2,0,2,40.8
69,16,1,1,0,3.2,79.1,0,2,1,0,57.1
70,18,2,0,4,0.5,62.0,1,2,1,2,24.6
71,15,2,0,4,0.7,95.1,0,0,0,2,50.0
72,16,1,1,3,1.6,65.9,0,3,0,3,37.1
73,14,1,1,0,1.3,97.9,0,0,0,2,59.5
74,18,1,1,3,4.2,50.2,1,3,0,2,51.5
75,16,2,0,2,7.3,91.6,0,1,0,5,96.4
76,15,0,1,4,1.1,63.1,1,1,0,2,32.0
77,15,0,0,0,7.0,60.1,0,0,0,2,80.7
78,17,0,1,4,5.5,94.2,0,0,0,2,91.5
79,18,0,1,5,1.8,65.2,1,2,1,4,32.7
80,19,1,1,1,2.7,79.2,0,3,0,1,59.6
81,16,2,0,2,2.0,86.8,0,2,1,4,58.5
82,14,1,0,2,6.4,71.0,0,0,1,4,83.0
83,18,1,1,0,5.9,55.1,1,0,1,2,69.1
84,17,0,0,4,2.8,96.1,0,0,0,0,61.7
85,18,1,0,1,0.9,82.4,0,1,1,5,43.9
86,14,0,0,4,1.8,94.6,0,1,0,5,61.3
87,15,2,1,2,5.2,88.4,1,1,0,1,73.9
88,18,1,0,1,1.2,88.7,1,3,0,0,53.4
89,18,1,1,2,4.5,79.5,0,0,1,2,63.4
90,16,2,0,5,5.1,50.3,0,3,1,2,59.9
91,18,0,1,0,5.7,94.1,0,3,0,1,82.0
92,19,1,0,0,1.4,91.5,0,3,0,2,41.3
93,16,1,0,2,3.9,86.4,1,3,1,5,59.5
94,19,0,1,3,4.0,93.9,0,0,1,2,76.8
95,15,0,0,3,6.8,59.2,0,3,1,0,87.9
96,15,0,0,5,4.0,64.1,0,1,0,2,66.6
97,18,0,1,5,3.6,57.9,0,2,1,2,46.2
98,17,2,1,0,1.4,82.3,0,2,1,3,39.9
99,14,0,1,1,5.7,71.9,1,0,1,2,66.9
100,18,0,0,2,5.1,55.1,0,3,0,1,66.8
101,15,2,1,0,5.9,78.8,0,0,0,3,68.8
102,18,1,0,1,5.4,66.9,0,3,0,4,73.5
103,14,2,1,1,7.1,74.5,0,3,1,5,81.9
104,18,2,1,3,7.1,63.1,0,2,0,0,86.4
105,18,0,1,1,2.8,58.1,0,2,1,2,39.3
106,18,1,1,0,1.9,72.5,0,0,0,1,52.9
107,17,0,1,0,7.4,61.3,1,3,0,1,75.9
108,16,1,0,3,5.8,70.3,0,0,1,4,65.2
109,18,2,1,3,7.8,69.1,1,3,1,5,82.4
110,15,2,1,5,4.2,97.0,0,3,0,5,67.3
111,18,2,1,2,7.7,59.3,0,3,0,5,88.9
112,17,0,0,4,1.4,64.3,0,1,1,2,35.7
113,16,0,1,1,4.9,89.6,0,3,0,2,74.2
114,17,1,0,4,4.2,64.8,0,2,0,4,61.3
115,17,0,1,5,0.5,74.0,0,0,1,1,37.1
116,14,1,1,5,1.9,88.1,0,2,1,4,54.8
117,14,2,1,4,1.7,50.2,1,3,0,3,32.1
118,15,0,1,2,1.0,97.8,0,2,0,4,39.6
119,14,2,0,5,7.6,73.1,0,2,1,5,81.9
120,16,2,0,0,7.7,88.0,0,3,1,2,92.0
121,18,2,0,0,7.2,96.0,0,0,1,0,89.4
122,17,0,1,4,7.9,93.8,0,1,0,3,98.4
123,16,0,1,4,6.7,61.0,0,1,1,2,87.8
124,19,0,1,2,7.5,77.8,1,0,1,4,87.1
125,17,0,1,4,2.0,70.5,1,1,1,2,53.1
126,14,0,1,1,2.4,76.6,1,3,1,0,52.7
127,18,1,0,3,7.0,89.0,0,1,1,4,82.6
128,17,0,1,1,4.1,67.7,0,1,1,5,65.0
129,17,0,1,1,5.9,73.9,0,2,0,1,81.1
130,17,2,0,5,4.7,80.4,0,1,0,5,73.8
131,17,2,1,3,2.8,63.5,0,1,1,4,40.6
132,14,2,1,2,2.6,80.3,0,3,0,2,43.3
133,17,0,1,4,6.1,57.4,0,2,1,2,78.3
134,18,1,1,5,4.5,81.1,0,0,1,3,73.4
135,15,1,1,2,3.2,57.2,0,2,0,4,50.1
136,17,0,0,5,5.1,88.8,1,2,0,1,81.6
137,14,2,0,5,3.6,59.7,1,2,1,3,54.2
138,16,1,1,3,4.1,82.3,0,1,1,1,67.6
139,16,2,0,4,5.6,79.1,0,3,0,4,85.7
140,19,0,1,2,3.9,71.3,0,2,1,4,52.6
141,15,1,0,4,7.6,82.3,0,0,0,2,89.7
142,15,0,1,5,4.1,92.3,0,3,0,5,62.0
143,16,2,1,4,7.7,56.0,0,0,1,4,78.7
144,19,1,1,1,6.9,83.8,1,3,1,2,95.6
145,19,0,0,3,7.2,70.5,0,2,0,1,90.2
146,14,0,1,1,6.2,83.7,1,3,0,4,84.5
147,15,1,1,4,5.0,93.8,0,2,0,3,71.7
148,18,0,0,5,4.5,82.6,0,0,0,1,68.7
149,14,0,1,0,4.6,58.0,0,2,1,2,61.2
150,19,2,0,2,2.0,70.8,0,3,1,2,36.9
151,15,2,1,1,2.1,77.5,0,3,1,2,39.3
152,19,1,0,4,0.8,56.3,0,1,1,0,22.6
153,15,2,1,4,6.1,82.2,0,0,0,4,87.5
154,16,1,1,4,1.4,85.7,0,3,0,4,46.8
155,17,0,1,0,4.9,88.1,0,3,1,3,77.5
156,14,2,1,2,1.5,56.0,0,0,1,3,26.5
157,17,0,1,3,1.0,85.3,1,2,1,4,38.4
158,17,2,1,2,4.5,68.3,0,0,1,3,58.1
159,18,1,0,0,7.0,60.6,0,0,0,2,86.0
160,19,0,1,2,3.2,76.2,1,2,1,2,48.9
161,17,0,0,3,7.4,78.6,0,0,1,5,86.0
162,16,2,1,4,0.6,72.8,0,3,0,2,37.8
163,16,2,1,5,4.0,92.0,0,0,0,1,71.9
164,16,1,1,5,1.6,57.8,1,0,0,3,43.4
165,18,0,0,5,2.9,70.4,0,1,1,2,58.3
166,15,2,0,0,0.7,63.4,0,3,1,2,37.8
167,15,2,1,0,0.8,52.4,0,2,1,0,32.4
168,16,1,1,0,5.8,67.0,0,1,0,1,66.2
169,14,1,0,3,5.4,85.9,0,1,1,2,78.4
170,14,2,0,4,2.1,76.2,1,0,1,4,39.6
171,14,1,1,1,7.3,70.9,0,2,0,2,86.7
172,18,0,1,4,5.7,73.7,0,3,1,3,80.8
173,18,0,0,0,3.0,65.6,0,0,0,5,50.5
174,18,1,0,5,3.6,56.1,0,3,1,4,48.2
175,16,2,1,1,2.7,79.5,0,0,1,0,63.4
176,18,2,0,3,6.7,90.8,0,1,1,2,86.1
177,14,1,0,4,4.2,89.5,0,2,0,5,63.1
178,19,0,0,2,1.5,61.7,0,3,1,1,36.9
